Title~Status~Notes~Author~Date~Category~Subject~Bible Books~Pages~Path
Principles of the New Philosophy~~~Odhner, Hugo Lj.~1965~Application~~~16~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Principles%20of%20the%20New%20Philosophy%20-%20H.L.Odhner.html
Spirits and Men~~~Odhner, Hugo Lj.~1958~Application~~~223~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Spirits%20and%20Men%20-%20Odhner.html
What the New Church Teaches~~~Buss, James F.~1897~Doctrine~~~192~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/What%20New%20Church%20Teaches%20-%20Buss.html
Doctrine of Reflection~~~DeCharms, George~1938~Doctrine~~~9~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Doctrine%20of%20Reflection%20-%20Decharms.html
Sermons Illustrating the Doctrine of the Lord~~~DeCharms, Richard~1840~Doctrine~~~22~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Sermons%20on%20the%20Lord%20-%20R.%20Decharms.html
Notes on the Divine Providence~~~Dibb, Andrew~1995~Doctrine~~~18~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Notes_on_DP%20-%20Dibb.html
Topics from the Writings~~~Pendleton, William F.~1946~Doctrine~~~250~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Topics%20From%20Writings%20-%20WF%20Pendleton.html
As from Self and the Two Essentials of the Church~~~Sandstrom, Erik~1983~Doctrine~~~1~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/As%20From%20Self%20-%20Sandstrom.html
Additamentum~~~Sandstrom, Erik~1980~Doctrine~~~3~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Additamentum%20-%20Erik%20Sandstrom.html
Visible God~~~Sandstrom, Erik~1963~Doctrine~~~21~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Visible%20God%20-%20Sandstrom.html
Uses of the Moral Virtues~~~Schnarr, Fred~1965~Doctrine~~~58~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Moral%20Virtues%20-%20Schnarr.html
Swedenborg and the Doctrines of the New Church~~~Tafel, Rudolph L.~1889~Doctrine~~~572~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Swedenborg%20and%20Doctrines%20-%20Tafel.html
Reflections on Some Popular Fallacies~~~Odhner, Hugo Lj.~1940~Doctrine~~~4~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Popular%20Falacies%20-%20Odhner.html
Fundamentals of the New Church~~~Odhner, Hugo Lj.~1947~Doctrine~~~57~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Fundamentals%20of%20Nc%20-%20Odhner.html
Glorification~~~Pendleton, Nathaniel D.~1941~Doctrine~~~32~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Glorification%20-%20Nd%20Pendleton.html
Repentance~~~Pendleton, Nathaniel D.~1982~Doctrine~~~7~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Repentance%20-%20ND%20Pendleton.html
Authority in the New Church~~~Tafel, Rudolph L.~1877~Doctrine~~~265~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Authority%20in%20Nc%20-%20Tafel.html
Nature of the Spiritual World~~~Acton, Alfred~1914~Doctrine~~~196~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Nature%20of%20Spiritual%20World%20-%20Acton.html
Doctrinal Papers~~~Alden, Karl~1951~Doctrine~~~177~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Doctrinal%20Papers%20-%20Alden.html
Great Truths on Great Subjects~~~Bayley, John~1899~Doctrine~~~216~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Great%20Truths%20on%20Great%20Subjects%20-%20Bayley.html
Circle of New-Church Doctrine~~~Giles, Chauncey~1882~Doctrine~~~256~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Circle%20of%20Doctrine%20-%20Giles.html
Sermons Concerning the Lord~~~Gladish, Willis~1945~Doctrine~~~191~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Sermons%20on%20the%20Lord%20-%20Gladish.html
Crown of Revelations~~~Acton, Alfred~1934~Doctrine~~~20~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Crown%20of%20Revelations%20-%20Acton.html
Twelve Discourses~~~Bayley, John~1862~Doctrine~~~432~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Twelve%20Discourses%20-%20Bayley.html
Criterion of Divine Authorship~~~Buss, James F.~1920~Doctrine~~~324~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Criterion%20of%20Divine%20Authorship%20-%20Buss.html
Star in the East~~~Buss, James F.~1909~Doctrine~~~179~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Star%20in%20the%20East%20-%20Buss.html
Selected Papers and Addresses~~~Buss, Peter M.~1995~Doctrine~~~18~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Selected%20Papers%20and%20Addresses%20-%20Buss.html
Creeds~~~Clissold, Augustus~1873~Doctrine~~~189~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Creeds%20-%20Clissold.html
Paul and David~~~Clissold, Augustus~1873~Doctrine~~~181~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Paul%20and%20David%20-%20Clissold.html
Laws of Order for the Preservation the Conjugial~~~Odhner, Carl T.~1904~Doctrine~~~193~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Preserving%20the%20Conjugial%20-%20C.%20Odhner.html
Doctrine and the Church~~~Odhner, Hugo Lj.~1945~Doctrine~~~184~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/DoctrineAndChurchFinal.pdf
Last Judgment~~~Odhner, Hugo Lj.~1955~Doctrine~~~72~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Last%20Judgment%20-%20Odhner.html
Faith and Falsity~~~Odhner, Hugo Lj.~1970~Doctrine~~~15~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Faith%20and%20Falsity%20-%20Odhner.html
Spiritual World~~~Odhner, Hugo Lj.~1968~Doctrine~~~471~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Spiritual%20World%20-%20Odhner.html
Effects of the Last Judgment~~~Odhner, Hugo Lj.~1938~Doctrine~~~5~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Effects%20of%20LJ%20-%20Odhner.html
Externals of the New Church~~~Odhner, Hugo Lj.~1949~Doctrine~~~68~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Externals%20of%20the%20Nc%20-%20H.%20Odhner.html
Grand Man~~~Odhner, Hugo Lj.~1935~Doctrine~~~11~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Grand%20Man%20-%20Odhner.html
Chapel Talks on Vital Subjects~~~Odhner, Ormond DeC.~1958~Doctrine~~~54~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Chapel%20Talks%20on%20Vital%20Subjects%20-%20O.%20Odhner.html
Science of Exposition~~~Pendleton, William F.~1915~Doctrine~~~29~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Science%20of%20Exposition%20-%20WF%20Pendleton.html
Addresses and Sermons~~~Tilson, Robert~1945~Doctrine~~~12~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Address%20and%20Sermons%20-%20Tilson.html
Words for the New Church Volume 1~~~No Author~1879~Doctrine~~~589~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Words%20for%20the%20NC%20Vol%20I.html
Words for the New Church Volume 2~~~No Author~1883~Doctrine~~~599~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Words%20for%20the%20NC%20Vol%20II.html
Words for the New Church Volume 3~~~No Author~1883~Doctrine~~~219~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Words%20for%20the%20NC%20Vol%20III.html
What the Writings Testify Concerning Themselves~~~No Author~1961~Doctrine~~~16~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Writings%20Testify.html
Philosophy of New Church Education~~~DeCharms, George~1942~Education~~~197~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Philosophy%20of%20NC%20Ed%20-%20Decharms.html
History of New Church Education Volume 1~~~Gladish, Richard~1968~Education~~~173~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/History%20of%20NC%20Ed%20Vol%201.html
History of New Church Education Volume 3~~~Gladish, Richard~1973~Education~~~224~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/History%20of%20NC%20Ed%20Vol%203.html
History of New Church Education Volume 2~~~Gladish, Richard~1968~Education~~~139~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/History%20of%20NC%20Ed%20Vol%202.html
Values and Objectives of New Church Education~~~Pendleton, Willard D.~1964~Education~~~6~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Values%20of%20NC%20Ed%20-%20WD%20Pendleton.html
Relationship of the Academy to the General Church~~~Pendleton, Willard D.~1969~Education~~~3~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Academy%20And%20Gc%20-%20Wd%20Pendleton.html
Principles of the Academy~~~Pendleton, William F.~1909~Education~~~2~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Principles%20of%20the%20Academy%20-%20WF%20Pendleton.html
Notes on the Education of Infants and Children~~~Pendleton, William F.~1946~Education~~~14~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Notes%20on%20Education%20-%20Pendleton.html
New Church Education in the Home~~~Sandstrom, Erik~1972~Education~~~72~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/NC%20Ed%20in%20Home%20-%20Sandstrom.html
Formative States of the Human~~~Pendleton, Willard D.~1968~Education~~~6~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Formative%20State%20of%20Human%20-%20WD%20Pendleton.html
Annals of the New Church 1851-1890~~~Odhner, Carl T.~1976~History~~~259~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Annals%20of%20the%20New%20Church%201851-1890.html
Robert Hindmarsh, A Biography~~~Odhner, Carl T.~1895~History~~~118~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Hindmarsh%20-%20C.%20Odhner.html
Augustus Nordenskjold~~~Odhner, Hugo Lj.~1956~History~~~30~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Augustus%20Nordenskjold%20-%20Hl.%20Odhner.html
John Wesley and Swedenborg~~~Odhner, Ormond DeC.~1962~History~~~115~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Wesley%20and%20Swedenborg%20-%20O.Odhner.html
Biographical Sketch of Thomas Worcester~~~Reed, Samson~1880~History~~~143~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/T.Worcestersketch.html
Annals of the General Church 1938-1976~~~Rich, Morley~1976~History~~~262~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Annals%20of%20the%20General%20Church%201938-1976.html
Annals of the Academy of the New Church 1876-1896~~~Whitehead, William~1976~History~~~112~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Annals%20of%20ANC%201876-1896.html
Annals of the General Church 1897-1937~~~Whitehead, William~1976~History~~~264~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Annals%20of%20the%20General%20Church%201897-1937.html
Kramph Will Case~~~No Author~1910~History~~~530~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Kramph%20Will%20Case.html
Reply to Emerson on Swedenborg~~~Bush, George~1846~History~~~28~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Reply%20to%20Emerson%20on%20Swedenborg%20-%20Bush.html
James John Garth Wilkinson - An Introduction~~~Evans, Frederick~1936~History~~~94~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Wilkinson%20-%20Evans.html
Early History of the New Church~~~Field, George~1879~History~~~368~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Early%20History%20of%20the%20New%20Church%20-%20Field.html
Rise and Progress of the New Jerusalem Church~~~Hindmarsh, Robert~1861~History~~~494~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Rise%20and%20Progress%20-%20Hindmarsh.html
Paracelsus and the Mystical Tradition of the Renaissance~~~Odhner, Hugo Lj.~1968~History~~~11~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Paracelsus%20-%20H%20Odhner.html
Church History - High School Text~~~Odhner, Ormond DeC.~1964~History~~~145~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Church%20History%20-%20O.%20Odhner.html
Annals of the New Church 1688-1850~~~Odhner, Carl T.~1976~History~~~576~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Annals%20of%20the%20New%20Church%201688-1850.html
Swedenborg at Work~~~Regamy, Alfred~1935~Swedenborg~~~68~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Swedenborg%20at%20Work%20-%20Regamy.html
Documents Concerning Swedenborg Volume 1~~~Tafel, Rudolph L.~1875~Swedenborg~~~726~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Doc%20Vol%201.html
Documents Concerning Swedenborg Volume 2~~~Tafel, Rudolph L.~1875~Swedenborg~~~694~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Doc%20Vol%202%20Part%201.html
Documents Concerning Swedenborg Volume 3~~~Tafel, Rudolph L.~1875~Swedenborg~~~643~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Doc%20Vol%202%20Part%202.html
Letters and Memorials of Emanuel Swedenborg~~~No Author~1948~Swedenborg~~~786~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Letters%20and%20Memorials.html
Swedenborg's Preparation~~~Acton, Alfred~1951~Swedenborg~~~54~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Swedenborgs-Preparation.pdf
Life of Swedenborg~~~Acton, Alfred~1958~Swedenborg~~~838~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Life%20of%20Swedenborg%20-%20Acton.html
Introduction to the Word Explained~~~Acton, Alfred~1927~Swedenborg~~~56~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/We%20Intro%20-%20Acton.html
Commentary on Zephaniah by Rev. George McCurdy~~~McCurdy, Rev., George~~~Zephaniah - Commentary from the book entitled Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Zephaniah.pdf
Creation~~~Odhner, Rev., Hugo, Lj.~~~~Genesis~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/creation-odhner.pdf
The Parables of the New Testament Explained~~~Mitchell, Rev., Edward, Craig~~~~Matthew, Mark, Luke, John~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/parables-of-the-new-testament-explained-mitchell.pdf
Dole's Bible Study Notes Volume 5~~~Dole, Anita, S.~~~~Mark, Luke~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Bible%20Study%20Notes%20Volume%20FIVE.pdf
Dole's Bible Study Notes Volume 6~~~Dole, Anita, S.~~~~John, Revelation~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Bible%20Study%20Notes%20Volume%20SIX.pdf
The Tabernacle of Israel~~~de Charms, Rev., George~~~~Exodus~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/the-tabernacle-of-israel-decharms.pdf
Survey of the Arcana Coelestia~active adoc~maynard editing~Odhner, Rev., Hugo, Lj.~~~~Genesis, Exodus~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/survey-of-arcana-odhner.pdf
Search Tips~~~Odhner, Rev., John; Staff, New Christian Bible Study~~~There's a lot of power in the NCBS Advanced Search function. And, with the advanced options, there's a certain level of complexity, too. These search tips are designed to help you overcome the complexity, and find the things you're looking for.~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Search-Tips-for-NCBS.pdf
The Miracles of Jesus Christ~~~Clowes, Rev., John, M.A.~~~Matthew, Mark, Luke, John~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/miracles-of-jesus-christ-clowes.pdf
Allegories of Genesis~~~King, Thomas, A~~~~Genesis~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/allegories-of-genesis-king(1).pdf
The Path: The Inner Life of Jesus Christ~~~Childs, Rev., Geoffrey, S.~~~~Genesis~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/the-path-childs.pdf
Essays on the Ten Commandments~~~Odhner, Rev., Hugo, Lj.~~~~Exodus, Deuteronomy~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/essays-on-the-ten-commandments-odhner.pdf
The Psalms, with the Internal Sense and Exposition~~~Clowes, Rev., John, M.A.~~~"Psalms. In this work, Rev. John Clowes offers a commentary on the Psalms, in light of his research into the correspondences, significations, and representations in the text of the Word. This was based on his study of the theological works of Emanuel Swedenborg. Rev. Clowes, a classical scholar and Rector of St. John's Anglican church  in Manchester, UK, also offers a ""New Translation from the Hebrew"", for the psalms."~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/the-psalms-clowes.pdf
The Parables of Jesus Christ Explained~~~Clowes, Rev., John, M.A.~~~~Matthew, Mark, Luke, John~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/parables-of-jesus-clowes.pdf
An Exposition of the Prophecy of Joel~~~Hyde, James~~~~Joel~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/prophecy-of-joel-hyde.pdf
